,X,Y
100130158641614214322940227367512855281_9,262.1874950975259,429.6536724485715
100131930094928935269095258358702108342_9,-553.8784332927459,537.6391697156178
100161267474034229529523378768613166971_9,1062.8749467171144,-1161.9625385378336
100170952198703073638951658744350721654_9,530.912489580426,116.82284899741344
100251347266379765782253014794912108486_9,1121.921518398283,-549.3739995732494
100344777826795663059905773700672926442_9,-806.4966392694497,138.5198196576016
100414148696273458143684225891158504104_9,1237.5487854972262,-1643.1096357583244
10042357601574924191172489721074953588_9,1118.8022844296515,-1243.9993356279704
100449620069039861188777666093020672283_9,-519.3042178883903,197.42243049402657
100510091528117734217846570643156940916_9,-397.7509696368371,261.4368710734425
100541587208025647785204320823258594001_9,1520.1397710389165,-1684.2170082961795
100568853242238391254251553219329685089_9,684.2271130879253,24.911269950991198
100620647920851231624788275839915972219_9,299.47575308850105,-724.2589954223474
100632738985475178912258758599391467960_9,1437.5638001613138,-991.7534324919243
100642081058886603827101492098833873059_9,-356.6792528177474,-519.266207465788
100648607726260164904770499835137605603_9,748.2750993210509,421.37419466179955
100762217079721651545251876630476612440_9,-569.7091416280188,208.07653141993939
100828725382868622774571214661686739296_9,-151.40187683778476,-517.640456343227
100852159121451022769296972564583006786_9,-375.6604623471622,506.6564801509182
100897716908317757173754663644091796186_9,287.7079219443626,-1151.522184202724
100944412525956582535212653054201207446_9,1338.0352431865065,-430.67057860659423
100948945922890796217675759202862383083_9,921.0534583762964,-539.1069115533821
100991249328805983490320621562837831020_9,1059.3282578630287,-608.7941023138387
101013238639154880957938167459303161221_9,-427.03987327387114,21.432538077085184
101146264761451620399447507909305741799_9,879.4657783794419,-535.2017712462485
101170290435151441385330469792523341182_9,118.15438185080279,-743.7523156115196
101254820810390972822618162804330872196_9,-187.3101849048208,-873.4728867098092
101277271185380634571410734299347451279_9,-793.3280978305552,111.59607278396561
101363205045123328861393440568905762492_9,-585.3339188303889,113.58856601797294
101363489784785312805319947241149048053_9,-157.16368835155998,-467.12963229252205
1013679825833075865611063968476635514_9,-264.8989370333649,-694.2364529629554
101395588973874203063587822799774127711_9,-623.4541547359728,-375.95175613060337
101396820644665977292320139615499466041_9,1286.4091223368591,-884.9265103232992
101442843445671282019165531714889293840_9,171.6866644695583,-769.8003819749454
101518513728239706592789857395222489019_9,814.0753274547031,619.8187982317311
101528924291791736483233895660025142774_9,700.4050174842984,178.68180866055008
101546555511667687907671536860680903008_9,-256.6699067161245,-440.1880527417647
101585945399743513324787145333131022937_9,-150.53865194743315,458.5360108007206
101649858639555633474549738417593394505_9,661.6030486504931,447.37997547469405
101669267623293075231907911416143030842_9,667.0363961078313,-1689.7239589090855
101783413628546486723506958660348058314_9,-570.6074777885137,170.09022105185824
101794718176766174067757999934615913950_9,1388.9131680490345,-1244.7767809860873
101806299559396043735655588232174583616_9,920.526209916509,178.82292326216128
101870123044831777650982156006780236452_9,-615.5120877999009,-397.3514093704078
102181943084862598642992033670732561886_9,963.1383706115291,-1155.5442430629269
102243454679387288679140549447187700614_9,210.5204214431708,-649.6400119029195
102251241777245012775754481505465111374_9,488.0749972178668,155.17813900922192
102298524449198951649896704439152400093_9,396.3849349618971,-1519.2070234403627
102326601839908501368193496126240118296_9,-189.3465497956702,-403.03154740591197
102354759387593425802071923757871060078_9,-573.4463378332507,-31.787833370466046
102385415922071082203449785210312686222_9,-362.77245806663535,563.2210420844424
