,X,Y
1148x-733,-800.51526,-705.99133
1150x-713,-800.9291,-685.8261
1154x-761,-792.0327,-733.189
1162x-823,-778.1195,-793.9447
1174x-690,-779.3551,-661.00244
1179x-817,-762.28375,-787.1604
1183x-857,-753.62585,-826.5999
1187x-715,-763.8414,-685.01965
1197x-860,-739.822,-827.4801
1202x-752,-745.40076,-719.8519
1208x-697,-744.95447,-664.7252
1207x-866,-729.80536,-833.08685
1213x-695,-739.76807,-662.1671
1216x-736,-732.2892,-702.9139
1218x-804,-724.2837,-770.06146
1228x-751,-719.4348,-716.19574
1235x-785,-709.5802,-749.61554
1235x-796,-708.5271,-760.53076
1239x-752,-708.5679,-716.1724
1243x-697,-710.03467,-661.7891
1254x-818,-687.38885,-781.16925
1248x-711,-703.4136,-674.77875
1251x-808,-691.2449,-771.36694
1252x-802,-690.8187,-764.68677
1255x-746,-693.3073,-709.37274
1258x-855,-679.333,-817.45166
1259x-863,-677.4605,-825.4139
1262x-852,-675.5002,-813.6891
1259x-764,-686.8616,-726.3489
1267x-688,-686.79517,-650.0556
1329x-728,-621.42786,-684.1814
1329x-749,-618.8875,-704.3471
1152x-851,-785.64056,-823.0095
1204x-687,-749.91693,-655.2401
1211x-800,-731.7661,-767.18414
1245x-843,-693.527,-805.9321
1269x-855,-668.86084,-816.10535
1307x-715,-644.66064,-673.1087
1167x-754,-779.4023,-725.21716
1171x-755,-775.84735,-725.74115
1154x-719,-796.2711,-691.72363
1287x-773,-658.9011,-732.31415
1300x-775,-645.9404,-733.15393
1164x-858,-772.4095,-829.13385
1171x-841,-767.4226,-811.4927
1169x-861,-767.8023,-832.03467
1185x-829,-754.531,-798.66016
1240x-792,-703.36395,-755.9252
1244x-813,-697.3564,-776.39923
1256x-805,-686.43536,-767.11426
1271x-766,-675.5679,-727.01227
1274x-733,-675.00085,-693.8187
1279x-767,-667.0319,-727.4837
1294x-735,-655.1703,-694.5748
1298x-720,-652.71436,-679.0649
1173x-822,-767.68066,-792.5567
1166x-591,-796.64154,-563.29553
1168x-515,-801.7022,-486.9942
1173x-495,-798.39954,-466.6724
1177x-589,-785.31476,-560.35345
1180x-636,-778.3322,-607.0667
1197x-492,-775.3623,-461.7469
1203x-635,-755.3937,-602.93823
1204x-651,-752.7681,-619.183
1206x-536,-761.57574,-504.45114
1210x-577,-754.0908,-545.102
1210x-521,-759.3623,-489.29236
1212x-500,-759.5075,-468.34253
1220x-556,-745.5931,-523.54535
1219x-509,-751.29395,-476.02423
1221x-483,-751.7734,-450.65857
1229x-594,-733.5143,-559.78156
1234x-605,-726.9986,-570.7302
1236x-512,-734.6225,-478.32687
1245x-630,-714.1838,-594.7998
1245x-521,-724.229,-485.5412
1249x-486,-723.40533,-450.35855
1251x-576,-713.6349,-540.3118
1258x-586,-705.0586,-549.6146
1261x-663,-695.4107,-625.9026
1269x-500,-702.8708,-462.7847
1280x-546,-687.54175,-507.12173
1280x-536,-688.47705,-497.60788
1283x-589,-680.6791,-549.636
1284x-522,-685.27563,-482.92688
1288x-611,-673.45636,-571.5941
1287x-572,-677.7716,-532.8948
1295x-660,-661.56964,-619.86554
1296x-533,-672.1604,-492.5809
1301x-489,-671.982,-449.10556
1309x-579,-655.4165,-537.3701
1308x-526,-661.31335,-484.88684
1312x-626,-647.6006,-584.3624
1311x-537,-656.78503,-495.84427
1313x-663,-642.8133,-620.2617
1314x-559,-652.2489,-516.95325
1322x-514,-648.1166,-471.8234
1332x-609,-629.4544,-565.1068
1335x-569,-630.058,-524.86584
1164x-620,-795.6463,-591.8795
1166x-554,-799.63104,-526.1526
1211x-644,-746.81537,-611.3189
1228x-605,-733.5731,-571.2893
1274x-614,-687.10834,-575.6993
1298x-631,-661.65656,-590.44727
1313x-594,-649.9848,-552.285
1215x-536,-752.48346,-503.94034
1233x-662,-723.05505,-627.0302
1241x-577,-722.8159,-541.9834
1244x-644,-713.7978,-608.6472
1295x-485,-677.7655,-445.3995
1296x-620,-664.0576,-579.4991
1332x-591,-631.156,-546.88837
1189x-648,-767.96985,-617.9469
1200x-511,-770.1358,-480.63428
1226x-648,-731.32965,-614.3085
1247x-561,-718.258,-525.66583
1269x-484,-704.0397,-446.80545
1283x-641,-675.16815,-601.59015
1295x-593,-667.3889,-552.5912
1311x-503,-660.9409,-462.0662
1149x-390,-832.1853,-364.39194
1152x-297,-838.42267,-271.81448
1168x-421,-810.35785,-394.15466
1183x-398,-798.0612,-369.013
1187x-440,-790.43744,-410.85828
1192x-391,-789.7784,-361.85504
1196x-389,-785.80835,-359.36508
1205x-446,-771.79694,-415.0694
1207x-376,-776.2434,-345.55002
1210x-408,-770.26245,-377.21606
1216x-317,-772.9423,-285.35428
1226x-332,-761.3571,-299.74948
1231x-360,-753.4891,-327.1257
1233x-425,-745.7676,-391.36963
1233x-446,-743.17487,-411.88666
1243x-420,-735.7958,-385.25165
1249x-395,-732.6556,-359.90778
1251x-281,-741.7622,-246.79982
1260x-415,-719.413,-379.34192
1271x-454,-704.7025,-416.54056
1273x-287,-718.93317,-249.9553
1274x-306,-715.7215,-269.2083
1283x-375,-700.37146,-336.57004
1287x-279,-705.3031,-241.40941
1289x-441,-688.14166,-402.47794
1291x-329,-697.3934,-289.9953
1295x-314,-694.88544,-275.5265
1301x-436,-676.7451,-396.4085
1305x-452,-671.74475,-411.46588
1307x-422,-671.8994,-381.7785
1307x-394,-674.945,-353.4024
1307x-291,-684.47095,-250.73988
1314x-347,-672.2067,-306.39117
1321x-466,-653.7025,-423.71738
1325x-414,-655.39,-371.6104
1325x-323,-663.4737,-281.35916
1171x-306,-819.1575,-279.05777
1195x-345,-790.781,-315.776
1200x-351,-785.2249,-321.003
1220x-348,-765.9275,-316.32434
1222x-355,-763.67883,-323.03577
1249x-306,-741.585,-271.06702
1318x-318,-671.2961,-276.67056
1180x-350,-805.2038,-322.12372
1212x-332,-775.72345,-300.84314
1258x-346,-728.32275,-310.77847
1256x-340,-730.9933,-304.44012
1289x-301,-701.81976,-262.75705
1314x-338,-673.15875,-297.06348
1315x-380,-668.6461,-339.11395
1201x-305,-788.7986,-275.0251
1240x-388,-742.69324,-353.60016
1284x-401,-697.42053,-362.85184
1165x-404,-815.297,-377.38266
1198x-364,-786.3105,-333.70724
1223x-365,-761.0956,-332.8213
1240x-394,-741.73474,-360.4567
1308x-359,-677.135,-318.9224
1157x-252,-837.4472,-226.14975
1160x-80,-851.0189,-54.888603
1174x-112,-833.8237,-85.92637
1187x-99,-822.7598,-70.91963
1188x-159,-815.8046,-131.33263
1195x-209,-804.2564,-180.3352
1200x-247,-795.48395,-217.84462
1204x-154,-800.5991,-124.27815
1211x-213,-788.13275,-182.84694
1214x-176,-788.0261,-145.22025
1216x-249,-779.46576,-217.79704
1240x-90,-771.0109,-57.600983
1241x-266,-752.8048,-232.16165
1257x-184,-744.3058,-149.34735
1262x-169,-741.4027,-134.10513
1268x-240,-728.86017,-203.56686
1271x-104,-738.3477,-67.95597
1274x-126,-733.54016,-90.40699
1279x-134,-728.066,-97.879074
1279x-87,-732.3858,-50.37993
1282x-155,-722.97595,-117.815125
1281x-169,-722.42096,-132.27402
1288x-218,-710.94275,-180.35837
1293x-110,-716.1599,-72.349785
1292x-169,-711.0589,-131.42542
1306x-203,-694.09735,-163.39651
1302x-227,-695.7453,-187.79172
1310x-173,-692.6596,-132.8532
1318x-112,-690.85223,-71.281265
1174x-252,-821.09155,-224.44695
1202x-148,-802.94,-118.838486
1220x-101,-789.4375,-69.83568
1319x-205,-681.2301,-164.33221
1321x-225,-676.9949,-183.79744
1155x-156,-849.3559,-131.58281
1156x-182,-845.09674,-157.05016
1178x-192,-822.87274,-164.98166
1193x-151,-811.9325,-122.91278
1223x-118,-785.28046,-86.572754
1242x-219,-756.0748,-185.45676
1247x-107,-762.574,-73.68255
1261x-265,-732.7782,-229.11385
1275x-255,-719.7849,-218.66788
1291x-240,-705.69305,-201.78946
1164x-268,-829.2445,-241.69371
1164x-217,-834.0851,-190.58786
1183x-154,-821.648,-126.498566
1308x-149,-697.7803,-110.010086
1324x-159,-680.0758,-118.18254
1149x90,-878.5967,112.76861
